text,label
"
Micro Center
CHICAGO, IL 60647 (773)
Reference: 151-PO-4079701 Date: 09/03/06 11:10 AM
Customer: THE ULTIMATE COMPUTER STORE
JONES
SALES RECEIPT
SALES RECEIPT",ham
"
Get QEGY First Thing On Monday Oct 23, This Is Going To Explode!
Check out for HOT NEWS!!! The alert is ON!!!
Trade Date:
MONDAY, OCTOBER 23, 2006
Company:
QUANTUM ENERGY INC (QEGY)
Current Price: $3.12
GET IT NOW!
QEGY News: October 18, 2006 (New Well Now in Production) WOW WOW WOW !!!
The company is pleased to announce that the Inglish #5 well in the Barnett Shale has exceeded expectations in its initial production stage. The well came into production on October 12, 2006 and has produced 2355 barrels of oil and 5,245,000 MCF of gas in six days of production. This well has averaged 390 Bbls of oil per day ...
Use you brokerage site to get the rest of this exciting release and watch this fly on Monday !",spam
"
Anti-LGBT: States that have laws restricting teachers and staff from talking about LGBT issues at school
Alabama Arizona
Louisiana
Mississippi
Oklahoma
South Carolina
Texas
Utah",ham
"
Recent Announcements Indicate Climb For ag ao
Pay Attention. We are on the down side of the wave and on the way up again.
Company: AGA RESOURCES NEW
Stock: A G.A-0
Current Price: $1.80
Buy: Strong
This one has had nice returns for investors over the summer, and now shows promise to begin a second wave of returns.
Positive news releases during the month of June concerning the acquisition of drill sites in British Columbia for precious minerals and the purchase of additional equipment to drill deeper and explore further the drill site potential drove investors to climb on board and pushed this from the $1.20 mark to well over $3.
Now in the last week we have had to new releases concerning, marketing expansions with New-Element Co. Ltd. one of China's most successful marketing groups, and the appointment of the Mr Wei former CEO of China Mobility Solutions Inc., as the new Chairman Of The Board, and Mr John Hui as the new Vice Chairman.
Go read these releases and the amazing track records of New Element and Mr. Wei. You will understand why we a re so excited about these releases, and why we are issuing an alert.
We expect to see the second wave on this company and watch it climb well over $3 again.
Don t let this one slide, read the releases, see what it did back in June and get on it first thing Tuesday morning.",spam
"
Issue 559
Wall Street Times Investor Alert ***
*This Week Explosive Goes TO*
SPSY.PK
Space Propulsion Systems Inc
Currect price: $0.095 (+12.5%)
5-Day Target: $0.55
SPSY MAKES A MOVE!
-This Company is releasing BIG NEWS this week, get in before its over 0.50 -The current market in conventional solid propellants is about $3 billion annually!!
-SPSY.PK's New Generation solid propellant technology offers
significant cost and performance benefits to the aerospace industry.
ADD THIS ENERGY STOCK TO YOUR LIST AND WATCH IT LIKE A HAWK ON TUESDAY OCTOBER 3ND, 2006!!!!",spam
"
love is too BEAUTIFUL
TO BE HIDDEN IN THE CLOSET
HOMO",ham
"
- CLICK TO THE PICTURE-
Only Best quality products!
PRODUCTS:
***
Super Viagra(NEW)
***Leveitra
***
*** Cialis ***Fermeine Propecia *** Ambieen ***Valiuem *** Xanax *** Somea
- CLICK TO THE PICTURE-
http://wefunidecin.com",spam
"
Dear Home Owner,
Your credit doesnt matter to us! If you OWN real estate
and want IMMEDIATE cash to spend ANY way you like, or simply wish to LOWER your monthly payments by a third or more, here are the deals we have TODAY (hurry, these offers will expire TONIGHT):
$488,000.00 at a 3.67,% fixed-rate $372,000.00 at a 3.90,% variable-rate $492,000.00 at a 3.21, % interest-only $248,000.00 at a 3.36,% fixed-rate $198,000.00 at a 3.55,% variable-rate
Hurry, when these deals are gone, they are gone! Simply fill out this one-minute form...
Don't worry about approval, your credit will not disqualify you!
Sincerely,
Approval Manager
CLICK HERE >>>>>>>>",spam
"
ISSUE 10.11.2006
BREAKING MARKET NEWS REPORT
WOIZ.OB
Company Name: WOIZE INTERNATIONAL
Current Price: .42
Expected: STEADILY CLIMB FOR THE TOP
Check for last headlines
London UK, Oct 10, 2006
Woize International Ltd. Announces Plans to Launch Software for Mac in its
Fourth Quarter.
WATCH THIS STOCK MOVING
ON THE 11 OCTOBER 2006",spam
"
HOT STOCK!
THIS ONE IS STILL CLIMBING THE STOCK CHARTS!!!
ALERT - BREAKING MARKET NEWS REPORT!
Here is my FAVORITE PICK for the second half of 2006: LVCC !
Trade Date: Monday, September 25, 2006
Company Name: LAS VEGAS RESERVATNS
Symbol: LVCC
Current Price: $1.01
Friday Sept 22ND: Climbs 0.28 (+38.36% )
Target Price: $5.50
$6.00
Recommendation: STRONG BUY
Expectations: Max
WATCH THIS STOCK GO HIGHER AND HIGHER !
DON'T MISS THIS INVESTMENT MOMENT, PLACE LVCC ON THE RADAR!
ADD THIS GEM TO YOUR RADAR AND TO YOUR INVESTMENT PORTFOLIO!!!
MONDAY COULD BE A 100-300% GAIN!!!",spam
"
VIAGRA
100mg x 30 pills only $139.00
WHEN YOU
NEED IT NOW...
WISH TO BUY? GO TO WWW.PILLS10.COM
20mg x 30 pills
only $139.00
36-HOURS
ERECTION POWER!!
CIALIS",spam
"
WARNING!
MOUNTAIN LION HABITA
You Are entering prime mountain lion habitat. Mountain liom
attack without warm",ham
